bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Micah1:1,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G1096,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G3056,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2962,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G4314,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G3588,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G3588,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G1722,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2250,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2488,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G881,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G1478,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G935,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2448,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G5228,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G3739,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G3708,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G4012,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G4540,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G4012,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:1,WORD,,G2419,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G191,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G2992,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G3056,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G4337,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G3588,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G1093,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G3956,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G3588,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G1722,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G846,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G2532,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G1510,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G2962,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G1722,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G4771,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G1519,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G3142,Minor Prophets,Old Testament,Micah,LXX
1,Micah1:2,WORD,,G2962,Minor Prophets,Old Testament,Micah,LXX
