verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,,G3107,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G435,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3739,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3756,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G4198,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G1722,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G1012,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G765,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G2532,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G1722,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3598,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G268,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3756,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G2476,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G2532,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G1909,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G2515,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3061,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3756,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G2523,1,Psalms 1:1,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G235,1,Psalms 1:2,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G2228,1,Psalms 1:2,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G1722,1,Psalms 1:2,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3588,1,Psalms 1:2,Wisdom Literature,Old Testament,Psalms,LXX
WORD,,G3551,1,Psalms 1:2,Wisdom Literature,Old Testament,Psalms,LXX
