bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Titus1:1 ,WORD,Paul,G3972,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,a bond-servant,G1401,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,of God,G2316,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,WORD,and,G1161,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,WORD,Christ,G5547,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,WORD,for,G2596,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,the faith,G4102,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,of those chosen,G1588,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,of God,G2316,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,WORD,and,G2532,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,the knowledge,G1922,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,of the truth,G225,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,which is,G3588,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,PHRASE,according to,G2596,Epistles,New Testament,Titus,LXX
1,Titus1:1 ,WORD,godliness,G2150,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,in,G1909,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,PHRASE,the hope,G1680,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,PHRASE,of eternal,G166,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,life,G2222,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,which,G3739,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,God,G2316,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,who,G3588,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,PHRASE,cannot lie,G893,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,promised,G1861,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,PHRASE,long ages,G5550,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,,G166,Epistles,New Testament,Titus,LXX
1,Titus1:2 ,WORD,ago,G4253,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,but,G1161,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,at the proper,G2398,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,time,G2540,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,manifested,G5319,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,even His,G846,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,word,G3056,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,in,G1722,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,the proclamation,G2782,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,with which,G3739,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,I,G1473,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,was entrusted,G4100,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,according to,G2596,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,the commandment,G2003,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,PHRASE,of God,G2316,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,our,G1473,Epistles,New Testament,Titus,LXX
1,Titus1:3 ,WORD,Savior,G4990,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,PHRASE,To Titus,G5103,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,PHRASE,my true,G1103,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,child,G5043,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,in,G2596,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,PHRASE,a common,G2839,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,faith,G4102,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,Grace,G5485,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,and,G2532,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,peace,G1515,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,from,G575,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,God,G2316,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,PHRASE,the Father,G3962,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,and,G2532,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,Christ,G5547,Epistles,New Testament,Titus,LXX
1,Titus1:4 ,WORD,Jesus,G2424,Epistles,New Testament,Titus,LXX
