bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Zechariah1:1,WORD,,G1722,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3590,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3376,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G2094,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G1208,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G1909,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G1096,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3056,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G2962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G4314,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G2197,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G914,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G5207,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G4396,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:1,WORD,,G3004,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G3710,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G2962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G1909,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G3962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G4771,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G3709,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:2,WORD,,G3173,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G2532,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G2036,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G4314,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G846,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G3592,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G3004,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G2962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G3841,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G1994,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G4314,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G1473,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G2532,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G1994,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G4314,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G4771,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G3004,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:3,WORD,,G2962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G2532,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3361,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G1096,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G2531,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4771,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3739,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G1458,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G846,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4396,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G1715,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3004,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3592,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3004,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G2962,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3841,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G654,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G575,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3598,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4771,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4190,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G2532,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G575,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4771,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4190,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G2532,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3756,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G4337,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G3588,Minor Prophets,Old Testament,Zechariah,LXX
1,Zechariah1:4,WORD,,G1522,Minor Prophets,Old Testament,Zechariah,LXX
