bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 John1:1 ,WORD,What,G3739,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,was,G1510,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,from,G575,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,the beginning,G746,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,what,G3739,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,we have heard,G191,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,what,G3739,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,we have seen,G3708,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,with our,G1473,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,eyes,G3788,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,what,G3739,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,we have looked at,G2300,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,and,G2532,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,touched,G5584,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,with our,G1473,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,hands,G5495,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,concerning,G4012,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,the,G3588,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,WORD,Word,G3056,Epistles,New Testament,1 John,NIV
1,1 John1:1 ,PHRASE,of Life,G2222,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,and,G2532,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,the,G3588,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,life,G2222,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,PHRASE,was manifested,G5319,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,and,G2532,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,PHRASE,we have seen,G3708,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,and,G2532,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,testify,G3140,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,and,G2532,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,proclaim,G518,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,PHRASE,to you,G4771,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,the,G3588,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,eternal,G166,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,life,G2222,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,which,G3748,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,was,G1510,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,with,G4314,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,the,G3588,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,Father,G3962,Epistles,New Testament,1 John,NIV
1,1 John1:2 ,WORD,and,G2532,Epistles,New Testament,1 John,NIV
