verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now there was,H1961,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,a,H376,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,certain,H259,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,man,H376,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,from,H4480,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,Ramathaim-zophim,H7436,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,from the hill country,H2022,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"of Ephraim,",H669,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,and his name,H8034,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,was,,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,Elkanah,H511,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"of Jeroham,",H3395,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"of Elihu,",H453,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"of Tohu,",H8459,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"of Zuph,",H6689,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,an Ephraimite.,H673,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,He had,,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,two,H8147,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,wives:,H802,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,the name,H8034,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,of one,H259,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,was,,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,Hannah,H2584,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,and the name,H8034,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,of the other,H8145,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,Peninnah;,H6444,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,and,H1961,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,Peninnah had,H6444,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,"children,",H3206,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,but Hannah had,H2584,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,no,H369,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,children.,H3206,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,Now,H5927,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,this,H1931,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,man,H376,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,would go up,H5927,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,from his city,H5892,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,yearly,H3117,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,to worship,H7812,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,and to sacrifice,H2076,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,to the LORD,H3068,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,of hosts,H6635,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,in Shiloh.,H7887,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,And,H8033,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,the two,H8147,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,sons,H1121,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"of Eli,",H5941,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,Hophni,H2652,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,"and Phinehas,",H6372,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,were,,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,priests,H3548,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
PHRASE,to the LORD,H3068,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,there.,H8033,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
WORD,When,H1961,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,NIV
