bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Daniel1:1,PHRASE,In the third,H7969,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,year,H8141,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,PHRASE,of the reign,H4438,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,PHRASE,of Jehoiakim,H3079,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,king,H4428,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,PHRASE,of Judah,H3063,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,Nebuchadnezzar,H5019,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,king,H4428,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,PHRASE,of Babylon,H894,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,came,H935,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,PHRASE,to Jerusalem,H3389,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,PHRASE,and besieged,H6696,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,,H5921,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:1,WORD,it,,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,The Lord,H136,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,WORD,gave,H5414,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,WORD,Jehoiakim,H3079,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,WORD,king,H4428,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of Judah,H3063,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,into his hand,H3027,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,along with some,H4480,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,WORD,,H7117,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of the vessels,H3627,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of the house,H1004,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of God,H430,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,and he brought,H935,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,them to the land,H776,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of Shinar,H8152,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,to the house,H1004,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of his god,H430,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,and he brought,H935,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,the vessels,H3627,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,into the treasury,H1004,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,WORD,,H214,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:2,PHRASE,of his god,H430,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,Then the king,H4428,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,WORD,ordered,H559,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,WORD,Ashpenaz,H828,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,the chief,H7227,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,of his officials,H5631,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,to bring,H935,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,in some,H4480,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,of the sons,H1121,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,of Israel,H3478,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,including some,H4480,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,of the royal,H4410,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,WORD,family,H2233,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:3,PHRASE,and of the nobles,H6579,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,youths,H3206,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,in whom,H834,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,was no,H369,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,,H3605,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,defect,H3971,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,who were good-looking,H2896,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,,H4758,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,showing,H7919,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,intelligence,H7919,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,in every,H3605,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,branch of wisdom,H2451,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,endowed,H3045,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,with understanding,H995,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,and discerning,H995,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,knowledge,H4093,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,and who,H834,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,had ability,H3581,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,for serving,H5975,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,in the king's,H4428,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,WORD,court,H1964,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,and he ordered him to teach,H3925,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,them the literature,H5612,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,and language,H3956,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:4,PHRASE,of the Chaldeans,H3778,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:5,PHRASE,The king,H4428,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:5,WORD,appointed,H4487,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:5,PHRASE,for them a daily,H3117,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:5,WORD,ration,H1697,Major Prophets,Old Testament,Daniel,NIV
1,Daniel1:5,PHRASE,from the king's,H4428,Major Prophets,Old Testament,Daniel,NIV
