verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came about,H1961,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,in the thirtieth,H7970,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,"year,",H8141,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,on the fifth,H2568,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,[day],,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,of the fourth,H7243,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,"month,",H2320,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,while I,H589,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,was,,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,by,H5921,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,the river,H5104,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,Chebar,H3529,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,among,H8432,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,"the exiles,",H1473,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,the heavens,H8064,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,were opened,H6605,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,and I saw,H7200,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
WORD,visions,H4759,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,of God.,H430,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NIV
PHRASE,(On the fifth,H2568,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NIV
PHRASE,of the month,H2320,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NIV
PHRASE,in the,H8141,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NIV
WORD,fifth,H2549,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NIV
