verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,The oracle,H4853,1,Habakkuk 1:1,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,which,H834,1,Habakkuk 1:1,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,Habakkuk,H2265,1,Habakkuk 1:1,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,the prophet,H5030,1,Habakkuk 1:1,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,saw.,H2372,1,Habakkuk 1:1,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,How,H5704,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,"long,",H575,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,"O LORD,",H3068,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,"will I call for help,",H7768,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,And,H3808,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,You will,H8085,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,not,H3808,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,hear?,H8085,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,I cry out,H2199,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,"to You,",H413,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,“Violence!”,H2555,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,Yet,H3808,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,You do,H3467,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,not,H3808,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,save.,H3467,1,Habakkuk 1:2,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,Why,H4100,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,do You make me see,H7200,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,"iniquity,",H205,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,And,H5999,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,cause,H5027,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,[me],,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,to look on,H5027,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,wickedness?,H5999,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,"Yes, destruction",H7701,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
PHRASE,and violence,H2555,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
WORD,are,,1,Habakkuk 1:3,Minor Prophets,Old Testament,Habakkuk,NIV
