bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Hebrews1:1 ,WORD,God,G2316,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,PHRASE,after He spoke,G2980,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,PHRASE,long ago,G3819,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,PHRASE,to the,G3588,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,WORD,fathers,G3962,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,WORD,in,G1722,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,WORD,the,G3588,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,WORD,prophets,G4396,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,PHRASE,in many portions,G4181,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,WORD,and,G2532,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:1 ,PHRASE,in many ways,G4187,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,in,G1909,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,these,G3778,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,last,G2078,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,days,G2250,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,PHRASE,has spoken,G2980,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,PHRASE,to us,G1473,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,in,G1722,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,PHRASE,His Son,G5207,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,whom,G3739,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,PHRASE,He appointed,G5087,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,heir,G2818,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,PHRASE,of all things,G3956,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,through,G1223,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,whom,G3739,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,also,G2532,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,PHRASE,He made,G4160,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,the,G3588,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:2 ,WORD,world,G165,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,And He,G3739,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,WORD,is,G1510,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,the radiance,G541,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,of His glory,G1391,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,WORD,and,G2532,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,the exact representation,G5481,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,of His,G846,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,WORD,nature,G5287,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,WORD,and,G5037,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,WORD,upholds,G5342,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,all things,G3956,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,PHRASE,by the,G3588,Epistles,New Testament,Hebrews,NIV
1,Hebrews1:3 ,WORD,word,G4487,Epistles,New Testament,Hebrews,NIV
