bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Joel1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:1,PHRASE,that came,H1961,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:1,PHRASE,to Joel,H3100,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:1,PHRASE,of Pethuel,H6602,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,Hear,H8085,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,this,H2088,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,PHRASE,O elders,H2205,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,PHRASE,And listen,H238,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,all,H3605,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,inhabitants,H3427,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,PHRASE,of the land,H776,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,PHRASE,Has anything like this,H2088,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,happened,H1961,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,PHRASE,in your days,H3117,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,Or,H518,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,PHRASE,in your fathers,H1,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:2,WORD,days,H3117,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,WORD,Tell,H5608,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,PHRASE,your sons,H1121,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,PHRASE,"about it, And let your sons",H1121,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,PHRASE,tell their sons,H1121,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,PHRASE,And their sons,H1121,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,PHRASE,the next,H312,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:3,WORD,generation,H1755,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,WORD,What,H3499,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,PHRASE,the gnawing,H1501,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,WORD,locust,H1501,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,PHRASE,has left,H3499,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,PHRASE,the swarming,H697,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,WORD,locust,H697,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,PHRASE,has eaten,H398,Minor Prophets,Old Testament,Joel,NIV
1,Joel1:4,PHRASE,And what,H3499,Minor Prophets,Old Testament,Joel,NIV
