verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,Then,H7121,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,the LORD,H3068,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
WORD,called,H7121,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
WORD,to,H413,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
WORD,Moses,H4872,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,and spoke,H1696,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,to him,H413,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,from the tent,H168,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,"of meeting,",H4150,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
WORD,"saying,",H559,1,Leviticus 1:1,Pentateuch,Old Testament,Leviticus,NIV
WORD,“Speak,H1696,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,to,H413,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,the sons,H1121,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,of Israel,H3478,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,and say,H559,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,"to them,",H413,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,‘When,H3588,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,any man,H120,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,of you,H4480,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,brings,H7126,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,an offering,H7133,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,"to the LORD,",H3068,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,you shall bring,H7126,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,your offering,H7133,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,of,H4480,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,animals,H929,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,from,H4480,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,the herd,H1241,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,or,H4480,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,the flock.,H6629,1,Leviticus 1:2,Pentateuch,Old Testament,Leviticus,NIV
WORD,‘If,H518,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,his offering,H7133,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
WORD,is,,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,a burnt offering,H5930,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
WORD,from,H4480,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,"the herd,",H1241,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,"he shall offer it,",H7126,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,a male,H2145,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,without defect;,H8549,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,he shall offer,H7126,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
WORD,it,H853,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
WORD,at,H413,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,the doorway,H6607,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,of the tent,H168,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,"of meeting,",H4150,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,that he,H7522,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,may be,,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
WORD,accepted,H7522,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
WORD,before,H6440,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,the LORD.,H3068,1,Leviticus 1:3,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,‘He shall lay,H5564,1,Leviticus 1:4,Pentateuch,Old Testament,Leviticus,NIV
PHRASE,his hand,H3027,1,Leviticus 1:4,Pentateuch,Old Testament,Leviticus,NIV
WORD,on,H5921,1,Leviticus 1:4,Pentateuch,Old Testament,Leviticus,NIV
