bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Mark1:1 ,PHRASE,The beginning,G746,Gospels,New Testament,Mark,NIV
1,Mark1:1 ,PHRASE,of the,G3588,Gospels,New Testament,Mark,NIV
1,Mark1:1 ,WORD,gospel,G2098,Gospels,New Testament,Mark,NIV
1,Mark1:1 ,PHRASE,of Jesus,G2424,Gospels,New Testament,Mark,NIV
1,Mark1:1 ,WORD,Christ,G5547,Gospels,New Testament,Mark,NIV
1,Mark1:1 ,PHRASE,the Son,G5207,Gospels,New Testament,Mark,NIV
1,Mark1:1 ,PHRASE,of God,G2316,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,As,G2531,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,PHRASE,it is written,G1125,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,in,G1722,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,Isaiah,G2268,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,the,G3588,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,prophet,G4396,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,BEHOLD,G2400,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,PHRASE,I SEND,G649,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,MY,G1473,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,MESSENGER,G32,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,AHEAD,G4253,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,PHRASE,OF YOU,G4771,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,WHO,G3739,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,PHRASE,WILL PREPARE,G2680,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,YOUR,G4771,Gospels,New Testament,Mark,NIV
1,Mark1:2 ,WORD,WAY,G3598,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,PHRASE,THE VOICE,G5456,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,PHRASE,OF ONE CRYING,G994,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,IN,G1722,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,THE,G3588,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,WILDERNESS,G2048,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,PHRASE,MAKE READY,G2090,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,THE,G3588,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,WAY,G3598,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,PHRASE,OF THE LORD,G2962,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,MAKE,G4160,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,HIS,G846,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,PATHS,G5147,Gospels,New Testament,Mark,NIV
1,Mark1:3 ,WORD,STRAIGHT,G2117,Gospels,New Testament,Mark,NIV
1,Mark1:4 ,WORD,John,G2491,Gospels,New Testament,Mark,NIV
1,Mark1:4 ,WORD,the,G3588,Gospels,New Testament,Mark,NIV
1,Mark1:4 ,WORD,Baptist,G907,Gospels,New Testament,Mark,NIV
