bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Corinthians1:1 ,WORD,Paul,G3972,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,WORD,called,G2822,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,PHRASE,as an apostle,G652,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,WORD,Christ,G5547,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,WORD,by,G1223,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,PHRASE,the will,G2307,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,PHRASE,of God,G2316,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,WORD,Sosthenes,G4988,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:1 ,PHRASE,our brother,G80,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,PHRASE,To the,G3588,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,church,G1577,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,PHRASE,of God,G2316,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,which,G3588,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,is,G1510,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,at,G1722,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,Corinth,G2882,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,PHRASE,to those who have been sanctified,G37,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,in,G1722,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,Christ,G5547,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,Jesus,G2424,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,saints,G40,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,PHRASE,by calling,G2822,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,with,G4862,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,all,G3956,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,PHRASE,who in,G1722,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,every,G3956,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,place,G5117,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,PHRASE,call on,G1941,Epistles,New Testament,1 Corinthians,NLT
1,1 Corinthians1:2 ,WORD,the,G3588,Epistles,New Testament,1 Corinthians,NLT
