verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now there was,H1961,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,a,H376,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,certain,H259,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,man,H376,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,from,H4480,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,Ramathaim-zophim,H7436,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,from the hill country,H2022,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,"of Ephraim,",H669,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,and his name,H8034,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,was,,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,Elkanah,H511,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,"of Jeroham,",H3395,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,"of Elihu,",H453,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,"of Tohu,",H8459,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,"of Zuph,",H6689,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,an Ephraimite.,H673,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,He had,,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,two,H8147,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,wives:,H802,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,the name,H8034,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,of one,H259,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,was,,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,Hannah,H2584,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,and the name,H8034,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
PHRASE,of the other,H8145,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,Peninnah;,H6444,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
WORD,and,H1961,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,NLT
