bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Timothy1:1 ,WORD,Paul,G3972,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,according to,G2596,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,the commandment,G2003,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,of God,G2316,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,WORD,our,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,WORD,Savior,G4990,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,PHRASE,who is our,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:1 ,WORD,hope,G1680,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,PHRASE,To Timothy,G5095,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,PHRASE,my true,G1103,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,child,G5043,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,in,G1722,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,PHRASE,the faith,G4102,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,Grace,G5485,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,mercy,G1656,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,PHRASE,and peace,G1515,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,from,G575,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,God,G2316,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,PHRASE,the Father,G3962,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,our,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:2 ,WORD,Lord,G2962,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,As,G2531,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,I urged,G3870,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,you,G4771,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,upon my departure,G4198,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,for,G1519,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,Macedonia,G3109,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,remain on,G4357,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,at,G1722,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,Ephesus,G2181,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,so that,G2443,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,you may instruct,G3853,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,certain men,G5100,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,WORD,not,G3361,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:3 ,PHRASE,to teach strange doctrines,G2085,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,nor,G3366,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,to pay attention,G4337,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,to myths,G3454,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,endless,G562,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,genealogies,G1076,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,which,G3748,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,give rise,G3930,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,to mere speculation,G2214,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,rather,G3123,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,than,G2228,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,furthering the administration,G3622,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,of God,G2316,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,which,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,PHRASE,is by,G1722,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:4 ,WORD,faith,G4102,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,But,G1161,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,the,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,goal,G5056,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,PHRASE,of our instruction,G3852,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,is,G1510,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,love,G26,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,from,G1537,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,PHRASE,a pure,G2513,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,heart,G2588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,PHRASE,a good,G18,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,conscience,G4893,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,PHRASE,a sincere,G505,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:5 ,WORD,faith,G4102,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:6 ,PHRASE,For some men,G5100,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:6 ,WORD,straying,G795,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:6 ,PHRASE,from these things,G3739,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:6 ,PHRASE,have turned aside,G1624,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:6 ,WORD,to,G1519,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:6 ,PHRASE,fruitless discussion,G3150,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,WORD,wanting,G2309,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,PHRASE,to be,G1510,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,PHRASE,teachers of the Law,G3547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,PHRASE,even though they do not,G3361,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,WORD,understand,G3539,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,WORD,either,G3383,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,WORD,what,G3739,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,PHRASE,they are saying,G3004,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,WORD,or,G3383,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,PHRASE,the matters about,G4012,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,WORD,which,G5101,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:7 ,PHRASE,they make confident assertions,G1226,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,But,G1161,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,PHRASE,we know,G1492,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,that,G3754,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,the,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,Law,G3551,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,PHRASE,is good,G2570,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,if,G1437,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,one,G5100,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,uses,G5530,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,it,G846,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:8 ,WORD,lawfully,G3545,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,realizing,G1492,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,the fact,G3778,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,that,G3754,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,law,G3551,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,is not,G3756,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,made,G2749,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,for a righteous person,G1342,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,but,G1161,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,for those who are lawless,G459,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,rebellious,G506,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,for the ungodly,G765,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,sinners,G268,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,for the unholy,G462,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,profane,G952,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,"for those who kill, their fathers",G3964,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,or,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,WORD,mothers,G3389,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:9 ,PHRASE,for murderers,G409,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,and immoral men,G4205,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,and homosexuals,G733,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,and kidnappers,G405,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,and liars,G5583,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,and perjurers,G1965,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,WORD,whatever,G1487,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,WORD,,G5100,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,WORD,else,G2087,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,is contrary,G480,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,PHRASE,to sound,G5198,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:10 ,WORD,teaching,G1319,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,PHRASE,according to,G2596,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,WORD,the,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,WORD,glorious,G1391,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,WORD,gospel,G2098,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,PHRASE,of the,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,WORD,blessed,G3107,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,WORD,God,G2316,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,PHRASE,with which,G3739,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,WORD,I,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:11 ,PHRASE,have been entrusted,G4100,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,PHRASE,I thank,G2192,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,,G5485,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,our,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,Lord,G2962,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,who,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,PHRASE,has strengthened,G1743,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,me,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,because,G3754,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,PHRASE,He considered,G2233,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,me,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,faithful,G4103,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,PHRASE,putting me,G5087,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,into,G1519,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:12 ,WORD,service,G1248,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,PHRASE,even though I was,G1510,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,formerly,G4386,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,PHRASE,a blasphemer,G989,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,PHRASE,a persecutor,G1376,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,PHRASE,a violent aggressor,G5197,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,Yet,G235,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,PHRASE,I was shown mercy,G1653,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,because,G3754,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,PHRASE,I acted,G4160,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,ignorantly,G50,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,in,G1722,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:13 ,WORD,unbelief,G570,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,and,G1161,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,the,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,grace,G5485,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,PHRASE,of our,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,Lord,G2962,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,PHRASE,was more than abundant,G5250,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,with,G3326,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,PHRASE,the faith,G4102,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,love,G26,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,which,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,PHRASE,are found in,G1722,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:14 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,PHRASE,It is a trustworthy,G4103,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,statement,G3056,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,deserving,G514,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,full,G3956,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,acceptance,G594,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,that,G3754,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,came,G2064,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,into,G1519,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,the,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,world,G2889,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,PHRASE,to save,G4982,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,sinners,G268,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,PHRASE,among whom,G3739,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,I,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,WORD,am,G1510,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:15 ,PHRASE,foremost of all,G4413,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,Yet,G235,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,for,G1223,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,this reason,G3778,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,I found mercy,G1653,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,so that,G2443,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,in,G1722,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,me,G1473,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,as the foremost,G4413,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,Jesus,G2424,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,Christ,G5547,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,might demonstrate,G1731,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,His perfect,G537,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,patience,G3115,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,as,G4314,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,an example,G5296,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,PHRASE,for those who,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,would,G3195,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,believe,G4100,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,in,G1909,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,Him,G846,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,for,G1519,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,eternal,G166,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:16 ,WORD,life,G2222,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,Now,G1161,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,to,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,PHRASE,the King,G935,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,eternal,G165,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,immortal,G862,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,invisible,G517,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,PHRASE,the only,G3441,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,God,G2316,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,PHRASE,be honor,G5092,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,and,G2532,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,glory,G1391,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,forever,G165,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,,G1519,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,PHRASE,and ever,G165,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,,G3588,Epistles,New Testament,1 Timothy,NLT
1,1 Timothy1:17 ,WORD,Amen,G281,Epistles,New Testament,1 Timothy,NLT
