bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Chronicles1:1,PHRASE,Now Solomon,H8010,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,the son,H1121,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,of David,H1732,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,WORD,established,H2388,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,himself securely,H2388,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,WORD,over,H5921,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,his kingdom,H4438,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,and the LORD,H3068,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,his God,H430,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,was with him and exalted,H1431,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:1,PHRASE,him greatly,H4605,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,WORD,Solomon,H8010,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,WORD,spoke,H559,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,to all,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,WORD,Israel,H3478,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,to the commanders,H8269,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,of thousands,H505,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,and of hundreds,H3967,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,and to the judges,H8199,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,and to every,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,WORD,leader,H5387,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,in all,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,WORD,Israel,H3478,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,the heads,H7218,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,PHRASE,of the fathers,H1,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
1,2 Chronicles1:2,WORD,households,,Historical Books (Former Prophets),Old Testament,2 Chronicles,NLT
