bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ephesians1:1 ,WORD,Paul,G3972,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,by,G1223,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,PHRASE,the will,G2307,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,PHRASE,of God,G2316,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,PHRASE,To the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,saints,G40,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,who,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,are,G1510,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,at,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,Ephesus,G2181,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,PHRASE,who are faithful,G4103,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,Grace,G5485,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,PHRASE,to you,G4771,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,peace,G1515,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,from,G575,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,God,G2316,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,our,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,Father,G3962,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,PHRASE,the Lord,G2962,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,Jesus,G2424,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:2 ,WORD,Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,PHRASE,Blessed be,G2128,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,God,G2316,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,Father,G3962,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,PHRASE,of our,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,Lord,G2962,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,Jesus,G2424,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,who,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,PHRASE,has blessed,G2127,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,us,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,with,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,every,G3956,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,spiritual,G4152,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,blessing,G2129,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,PHRASE,heavenly places,G2032,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:3 ,WORD,Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,PHRASE,just as,G2531,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,PHRASE,He chose,G1586,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,us,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,Him,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,before,G4253,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,PHRASE,the foundation,G2602,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,PHRASE,of the world,G2889,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,PHRASE,that we,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,PHRASE,would be,G1510,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,holy,G40,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,blameless,G299,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,before,G2714,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,Him,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,In,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:4 ,WORD,love,G26,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,PHRASE,He predestined,G4309,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,us,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,to,G1519,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,PHRASE,adoption as sons,G5206,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,through,G1223,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,Jesus,G2424,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,to,G1519,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,Himself,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,PHRASE,according to,G2596,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,PHRASE,kind intention,G2107,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,PHRASE,of His,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:5 ,WORD,will,G2307,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,WORD,to,G1519,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,PHRASE,the praise,G1868,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,PHRASE,of the glory,G1391,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,PHRASE,of His,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,WORD,grace,G5485,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,WORD,which,G3739,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,PHRASE,He freely bestowed,G5487,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,PHRASE,on us,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:6 ,WORD,Beloved,G25,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,In,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,Him,G3739,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,PHRASE,we have,G2192,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,redemption,G629,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,through,G1223,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,His,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,blood,G129,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,forgiveness,G859,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,PHRASE,of our trespasses,G3900,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,PHRASE,according to,G2596,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,riches,G4149,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,PHRASE,of His,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:7 ,WORD,grace,G5485,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,which,G3739,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,PHRASE,He lavished,G4052,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,on,G1519,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,us,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,In,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,all,G3956,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,wisdom,G4678,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:8 ,WORD,insight,G5428,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,PHRASE,He made known,G1107,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,PHRASE,to us,G1473,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,mystery,G3466,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,PHRASE,of His,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,will,G2307,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,PHRASE,according to,G2596,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,His,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,PHRASE,kind intention,G2107,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,which,G3739,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,PHRASE,He purposed,G4388,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:9 ,WORD,Him,G846,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,PHRASE,with a view to,G1519,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,PHRASE,an administration,G3622,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,PHRASE,suitable to the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,fullness,G4138,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,PHRASE,of the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,times,G2540,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,PHRASE,"that is, the summing up",G346,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,PHRASE,of all things,G3956,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,in,G1722,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,Christ,G5547,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,things,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,in,G1909,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,heavens,G3772,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,and,G2532,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,things,G3588,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,on,G1909,Epistles,New Testament,Ephesians,NLT
1,Ephesians1:10 ,WORD,the,G3588,Epistles,New Testament,Ephesians,NLT
