verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came about,H1961,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,in the thirtieth,H7970,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,"year,",H8141,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,on the fifth,H2568,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,[day],,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,of the fourth,H7243,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,"month,",H2320,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,while I,H589,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,was,,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,by,H5921,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,the river,H5104,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,Chebar,H3529,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,among,H8432,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,"the exiles,",H1473,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,the heavens,H8064,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,were opened,H6605,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,and I saw,H7200,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
WORD,visions,H4759,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,of God.,H430,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,NLT
PHRASE,(On the fifth,H2568,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
PHRASE,of the month,H2320,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
PHRASE,in the,H8141,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
WORD,fifth,H2549,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
WORD,year,H8141,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
WORD,of,H1546,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
WORD,King,H4428,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
WORD,Jehoiachin’s,H3112,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
WORD,"exile,",H1546,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,NLT
PHRASE,the word,H1697,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,of the LORD,H3068,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,came,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,expressly,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,to,H413,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,Ezekiel,H3168,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,"the priest,",H3548,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,son,H1121,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,"of Buzi,",H941,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,in the land,H776,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,of the Chaldeans,H3778,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,by,H5921,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,the river,H5104,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,Chebar;,H3529,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,and,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,there,H8033,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,the hand,H3027,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,of the LORD,H3068,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
WORD,came,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,upon him.),H5921,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,NLT
PHRASE,"As I looked,",H7200,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,"behold,",H2009,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,a,H7307,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,storm,H5591,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,wind,H7307,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,was coming,H935,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,from,H4480,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,"the north,",H6828,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,a,H6051,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,great,H1419,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,cloud,H6051,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,with fire,H784,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,flashing forth continually,H3947,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,and a bright light,H5051,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,around,H5439,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
WORD,"it,",,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,and in its midst,H8432,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,something like,H5869,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,glowing metal,H2830,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,in the midst,H8432,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,of the fire.,H784,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,NLT
PHRASE,Within it,H8432,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,NLT
PHRASE,there were,,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,NLT
