bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Haggai1:1,PHRASE,In the second,H8147,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,year,H8141,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,of Darius,H1867,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,the king,H4428,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,on the first,H259,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,day,H3117,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,of the sixth,H8345,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,month,H2320,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,the word,H1697,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,came,H1961,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,by the prophet,H5030,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,Haggai,H2292,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,to Zerubbabel,H2216,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,of Shealtiel,H7597,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,governor,H6346,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,of Judah,H3063,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,and to Joshua,H3091,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,of Jehozadak,H3087,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,PHRASE,the high,H1419,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,priest,H3548,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:1,WORD,saying,H559,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,WORD,Thus,H3541,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,WORD,says,H559,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,of hosts,H6635,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,WORD,This,H2088,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,WORD,people,H5971,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,WORD,says,H559,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,The time,H6256,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,has not come,H935,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,even the time,H6256,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,for the house,H1004,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:2,PHRASE,to be rebuilt,H1129,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:3,PHRASE,Then the word,H1697,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:3,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:3,WORD,came,H1961,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:3,PHRASE,by Haggai,H2292,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:3,PHRASE,the prophet,H5030,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:3,WORD,saying,H559,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,PHRASE,Is it time,H6256,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,PHRASE,for you yourselves,H859,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,PHRASE,to dwell,H3427,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,PHRASE,in your paneled,H5603,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,WORD,houses,H1004,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,PHRASE,while this,H2088,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,WORD,house,H1004,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:4,PHRASE,lies desolate,H2720,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,WORD,Now,H6258,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,PHRASE,"therefore, thus",H3541,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,WORD,says,H559,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,PHRASE,of hosts,H6635,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,WORD,Consider,H7760,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,WORD,,H3824,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,WORD,,H5921,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:5,PHRASE,your ways,H1870,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,You have sown,H2232,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,WORD,much,H7235,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,but harvest,H935,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,WORD,little,H4592,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,you eat,H398,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,but there is not enough to be satisfied,H7654,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,you drink,H8354,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,but there is not enough to become,H7937,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,WORD,drunk,H7937,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,you put,H3847,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,on clothing,H3847,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,but no,H369,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,WORD,one,H369,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,is warm,H2552,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,enough; and he who earns,H7936,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,WORD,earns,H7936,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,WORD,wages,H7939,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,to put into a purse,H6872,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:6,PHRASE,with holes,H5344,Minor Prophets,Old Testament,Haggai,NLT
1,Haggai1:7,WORD,Thus,H3541,Minor Prophets,Old Testament,Haggai,NLT
