verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,The word,H1697,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,of the LORD,H3068,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,which,H834,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,came,H1961,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,to,H413,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,Hosea,H1954,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,the son,H1121,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,"of Beeri,",H882,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,during the days,H3117,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,"of Uzziah,",H5818,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,"Jotham,",H3147,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,Ahaz,H271,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,[and],,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,"Hezekiah,",H2396,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,kings,H4428,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,"of Judah,",H3063,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,and during the days,H3117,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,of Jeroboam,H3379,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,the son,H1121,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,"of Joash,",H3101,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,king,H4428,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,of Israel.,H3478,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,NLT
WORD,When,H1696,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,NLT
PHRASE,the LORD,H3068,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,NLT
WORD,first,H8462,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,NLT
