verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came about,H1961,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,in the days,H3117,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,when,,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,the judges,H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,"governed,",H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,that there was,H1961,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,a famine,H7458,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,in the land.,H776,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,And,H3212,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,a certain man,H376,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,of Bethlehem,H1035,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,in Judah,H3063,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,went,H3212,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,to sojourn,H1481,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,in the land,H7704,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,of Moab,H4124,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,with his wife,H802,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,and,H8147,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,his,H1121,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,two,H8147,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,sons.,H1121,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,The name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,of the man,H376,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,[was],,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,NLT
WORD,"Elimelech,",H458,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,NLT
PHRASE,and the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,NLT
