bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Zechariah1:1,PHRASE,In the eighth,H8066,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,WORD,month,H2320,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,of the second,H8147,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,WORD,year,H8141,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,of Darius,H1867,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,the word,H1697,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,to Zechariah,H2148,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,the prophet,H5030,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,of Berechiah,H1296,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,PHRASE,of Iddo,H5714,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:1,WORD,saying,H559,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:2,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:2,PHRASE,was very,H7110,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:2,WORD,angry,H7107,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:2,PHRASE,with your fathers,H1,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,PHRASE,Therefore say,H559,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,PHRASE,"to them, Thus",H3541,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,WORD,says,H559,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,PHRASE,of hosts,H6635,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,WORD,Return,H7725,Minor Prophets,Old Testament,Zechariah,NLT
1,Zechariah1:3,PHRASE,"to Me, declares",H5002,Minor Prophets,Old Testament,Zechariah,NLT
